topology,architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,cpu_time_seconds,peak_memory_kb,seed
smoke,ahmed_inspired_witness_vpuft,23,4,129,2,0.8518518518518519,0.92,0.0300751879699248,0.08,0.9699248120300752,0.8846153846153846,0.8628426628216331,8000.0,14793.259948417946,44.49698016755832,14284.604487357376,14830.56110628522,14921.211670689108,14.878694051375874,30973,196.03164556962025,23221208,146969.67088607594,605,3224.272816341385,0.9804668582313628,1.0,0,0,0,27,1,0,0,4.422468999982812,4.40625,18360.7939453125,1007
smoke,centralized_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14092.444802737082,0.0,14067.758988273044,14151.951066149091,14172.491152953007,1.0000000000047748,5370,33.9873417721519,3780480,23927.08860759494,104,5850.969582123075,0.980633147113594,,0,0,0,23,1,0,0,1.2169738999800757,1.234375,4792.654296875,1008
smoke,distributed_rsu_vpuft,21,2,131,4,0.9130434782608696,0.84,0.0150375939849624,0.16,0.9849624060150376,0.8749999999999999,0.8536880074557871,8000.0,14276.487728095972,100.53659761089334,14137.652706599243,14322.346999918858,14362.747727721871,13.871262237108796,4930,31.20253164556962,3288736,20814.78481012658,99,4946.652084817501,0.9799188640973632,1.0,0,0,0,23,1,0,0,1.2592118000029586,1.25,4704.4072265625,1008
smoke,ahmed_inspired_witness_vpuft,24,3,130,1,0.8888888888888888,0.96,0.0225563909774436,0.04,0.9774436090225564,0.923076923076923,0.9089153700625314,8000.0,14811.056889632491,43.42575418746577,14266.0087145157,14849.510035239697,15011.755136451438,16.243843996615226,30501,193.0443037974684,22894224,144900.15189873418,639,3344.140426123121,0.9790498672174682,1.0,0,0,0,27,1,0,0,4.597998699988239,4.546875,18194.43359375,1008
smoke,centralized_vpuft,20,2,131,5,0.9090909090909092,0.8,0.0150375939849624,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14095.531245224192,0.0,14067.768410469362,14149.455837228845,14168.297870222632,1.0000000000047748,5368,33.9746835443038,3779072,23918.177215189877,94,5866.224023845182,0.982488822652757,,0,0,0,22,1,0,0,1.2347413999959826,1.234375,4781.41796875,1009
smoke,distributed_rsu_vpuft,20,2,131,5,0.9090909090909092,0.8,0.0150375939849624,0.2,0.9849624060150376,0.8510638297872342,0.8274921602653108,8000.0,14265.19436645833,118.1031526002549,14140.852770324547,14297.070226790123,14354.177356621818,17.060408781419056,4969,31.449367088607595,3324416,21040.607594936708,94,4997.44553156836,0.9810827128194808,1.0,0,0,0,22,1,0,0,1.2672133999876678,1.265625,4701.7841796875,1009
smoke,ahmed_inspired_witness_vpuft,23,4,129,2,0.8518518518518519,0.92,0.0300751879699248,0.08,0.9699248120300752,0.8846153846153846,0.8628426628216331,8000.0,14766.745795876652,43.85367236437325,14291.564725684018,14805.44963500659,14893.033473313566,13.386923897375878,30637,193.90506329113924,22975928,145417.2658227848,578,3188.863912406961,0.9811339230342396,1.0,0,0,0,27,1,0,0,4.899004100007005,4.875,18243.763671875,1009
smoke,centralized_vpuft,19,3,130,6,0.8636363636363636,0.76,0.0225563909774436,0.24,0.9774436090225564,0.8085106382978724,0.7773987651228131,8000.0,14100.968474144973,0.0,14066.95607435003,14168.100062627756,14194.601804410317,1.0000000000047748,5409,34.234177215189874,3807936,24100.86075949367,119,5835.724920687911,0.9779996302458864,,0,0,0,22,1,0,0,1.3556603999459185,1.359375,4859.830078125,1010
smoke,distributed_rsu_vpuft,19,3,130,6,0.8636363636363636,0.76,0.0225563909774436,0.24,0.9774436090225564,0.8085106382978724,0.7773987651228131,8000.0,14254.923733965534,110.99407400548245,14136.838500540098,14297.570837461182,14303.905659316935,13.647682120809534,4875,30.854430379746837,3260768,20637.77215189873,76,4997.188280781134,0.9844102564102564,1.0,0,0,0,22,1,0,0,1.3189999000169337,1.328125,4734.970703125,1010
smoke,ahmed_inspired_witness_vpuft,22,5,128,3,0.8148148148148148,0.88,0.037593984962406,0.12,0.962406015037594,0.8461538461538461,0.8167699555807348,8000.0,14748.434960317749,44.79177052674004,14294.474793180392,14785.818919255116,14891.310636851207,15.355763199737993,30961,195.95569620253164,23238132,147076.78481012658,637,3271.260431483605,0.9794257291431157,1.0,0,0,0,27,1,0,0,4.561447600019164,4.5,18545.5341796875,1010
