architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb,fault_activated_count,invalid_proposal_attempt_count
centralized_remote_0ms_control,3,1,27,6,0.75,0.3333333333333333,0.03571428571428571,0.6666666666666666,0.9642857142857143,0.46153846153846156,0.41121980934985564,12399.99999999999,14042.908186448865,0.0,14028.058165464474,14049.759286981242,14069.297078500795,1.0000000000012221,1292,34.91891891891892,909568,24582.91891891892,18,3953.965758513929,0.9860681114551083,,0,0,0,4,1,0,0,0.7611581000019214,urban_roundabout,20,1004,0.0,0.75,1339.6982421875,0,0
centralized_remote_100ms,3,1,27,6,0.75,0.3333333333333333,0.03571428571428571,0.6666666666666666,0.9642857142857143,0.46153846153846156,0.41121980934985564,12399.99999999999,14142.908186448867,0.0,14128.058165464476,14149.759286981243,14169.297078500795,1.0000000000012221,1292,34.91891891891892,909568,24582.91891891892,18,3953.965758513929,0.9860681114551083,,0,0,0,4,1,0,0,0.5908668000047328,urban_roundabout,20,1004,100.0,0.5625,1231.9462890625,0,0
distributed_density_honest,4,1,28,5,0.8,0.4444444444444444,0.034482758620689655,0.5555555555555556,0.9655172413793104,0.5714285714285714,0.5156102614533682,9449.999999999996,14089.152208033325,84.52199429991792,14074.943389803277,14160.551471776147,14160.619350322875,15.087323171474765,1040,27.36842105263158,1109696,29202.526315789473,20,3354.6049815516544,0.9807692307692307,1.0,0,0,0,5,1,0,0,0.8246811000062735,urban_roundabout,20,1005,,0.8125,1206.27734375,0,0
centralized_remote_0ms_control,4,1,28,5,0.8,0.4444444444444444,0.034482758620689655,0.5555555555555556,0.9655172413793104,0.5714285714285714,0.5156102614533682,9449.999999999996,14039.424990921667,0.0,14028.64882269049,14056.09692949626,14069.893165302421,1.0000000000012221,1329,34.973684210526315,935616,24621.473684210527,27,4084.5045357411536,0.9796839729119639,,0,0,0,5,1,0,0,0.5555215999993379,urban_roundabout,20,1005,0.0,0.5625,1256.5361328125,0,0
centralized_remote_100ms,4,1,28,5,0.8,0.4444444444444444,0.034482758620689655,0.5555555555555556,0.9655172413793104,0.5714285714285714,0.5156102614533682,9449.999999999996,14139.424990921669,0.0,14128.64882269049,14156.096929496262,14169.89316530242,1.0000000000012221,1329,34.973684210526315,935616,24621.473684210527,27,4084.5045357411536,0.9796839729119639,,0,0,0,5,1,0,0,0.5294261999952141,urban_roundabout,20,1005,100.0,0.53125,1256.2998046875,0,0
distributed_density_honest,4,1,26,5,0.8,0.4444444444444444,0.037037037037037035,0.5555555555555556,0.9629629629629629,0.5714285714285714,0.5101127853361851,9750.0,14095.709364033042,72.57469505867888,14083.534555117993,14166.309583209579,14173.195191376873,15.835701054051299,1058,29.38888888888889,1114816,30967.11111111111,23,3363.760266784359,0.9782608695652174,1.0,0,0,0,5,1,0,0,0.8463055999964126,urban_roundabout,20,1006,,0.828125,1235.1279296875,0,0
centralized_remote_0ms_control,4,1,26,5,0.8,0.4444444444444444,0.037037037037037035,0.5555555555555556,0.9629629629629629,0.5714285714285714,0.5101127853361851,9750.0,14040.394418098529,0.0,14028.125235017264,14053.690937284993,14066.783848505145,1.0000000000012221,1370,38.05555555555556,964480,26791.11111111111,29,4022.539778102184,0.9788321167883212,,0,0,0,5,1,0,0,0.6611760999949183,urban_roundabout,20,1006,0.0,0.65625,1290.7880859375,0,0
centralized_remote_100ms,4,1,26,5,0.8,0.4444444444444444,0.037037037037037035,0.5555555555555556,0.9629629629629629,0.5714285714285714,0.5101127853361851,9750.0,14140.39441809853,0.0,14128.125235017269,14153.690937284995,14166.783848505145,1.0000000000012221,1370,38.05555555555556,964480,26791.11111111111,29,4022.539778102184,0.9788321167883212,,0,0,0,5,1,0,0,0.6792179000040051,urban_roundabout,20,1006,100.0,0.671875,1290.7880859375,0,0
distributed_density_honest,4,1,25,5,0.8,0.4444444444444444,0.038461538461538464,0.5555555555555556,0.9615384615384616,0.5714285714285714,0.5070724870494426,6899.999999999992,14119.380558069088,85.41087363834237,14100.607067515955,14183.327241517534,14191.934200369136,14.374833170175805,1002,28.62857142857143,1099136,31403.885714285716,21,3569.911502957081,0.9790419161676647,1.0,0,0,0,5,1,0,0,0.7123422000004211,urban_roundabout,20,1007,,0.640625,1164.2841796875,0,0
centralized_remote_0ms_control,4,1,25,5,0.8,0.4444444444444444,0.038461538461538464,0.5555555555555556,0.9615384615384616,0.5714285714285714,0.5070724870494426,6899.999999999992,14047.715682154843,0.0,14028.77633075237,14053.956358556788,14070.160940199079,1.0000000000012221,1278,36.51428571428571,899712,25706.057142857142,21,3865.4036494522607,0.9835680751173709,,0,0,0,5,1,0,0,0.3592960000023595,urban_roundabout,20,1007,0.0,0.34375,1212.0361328125,0,0
