case_id,observation_root_id,seed,attack_type,label,validity,direction,source_id,source_kind,validator_rsu_id,administrative_domain_id,geographic_cell,sensor_modality,detector_confidence,source_reliability,freshness,verifiability,independence,observed_at,reason_codes
case-grid-1007-veh_004-benign,root-11749479309216ea7d947bfe,1007,benign,0,1,-1,rsu-5,rsu,rsu-5,domain-3,cell-0-3,rsu_cam_plausibility,0.78,0.9119999999999999,0.99,0.76,0.68,9.0,clean_observation
case-grid-1007-veh_004-benign,root-11749479309216ea7d947bfe,1007,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.8999999999999999,0.99,0.76,0.56,9.0,clean_observation
case-grid-1007-veh_005-benign,root-3ffae08904d9fb186fded202,1007,benign,0,1,-1,rsu-2,rsu,rsu-2,domain-1,cell-2-0,rsu_cam_plausibility,0.78,0.948,0.99,0.76,0.92,9.0,clean_observation
case-grid-1007-veh_005-benign,root-3ffae08904d9fb186fded202,1007,benign,0,1,-1,rsu-3,rsu,rsu-3,domain-2,cell-3-1,rsu_cam_plausibility,0.78,0.9359999999999999,0.99,0.76,0.68,9.0,clean_observation
case-grid-1007-veh_005-benign,root-3ffae08904d9fb186fded202,1007,benign,0,1,-1,rsu-4,rsu,rsu-4,domain-2,cell-2-3,rsu_cam_plausibility,0.78,0.9239999999999999,0.99,0.76,0.56,9.0,clean_observation
case-grid-1007-veh_006-benign,root-9e4931134c1d71355dd74322,1007,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-0-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,9.0,clean_observation
case-grid-1007-veh_006-benign,root-9e4931134c1d71355dd74322,1007,benign,0,1,-1,rsu-2,rsu,rsu-2,domain-1,cell-2-0,rsu_cam_plausibility,0.78,0.948,0.99,0.76,0.68,9.0,clean_observation
case-grid-1007-veh_007-benign,root-955e6d5744103b58b73332c0,1007,benign,0,1,-1,rsu-4,rsu,rsu-4,domain-2,cell-2-3,rsu_cam_plausibility,0.78,0.9239999999999999,0.99,0.76,0.92,9.0,clean_observation
case-grid-1007-veh_007-benign,root-955e6d5744103b58b73332c0,1007,benign,0,1,-1,rsu-5,rsu,rsu-5,domain-3,cell-0-3,rsu_cam_plausibility,0.78,0.9119999999999999,0.99,0.76,0.68,9.0,clean_observation
case-grid-1007-veh_008-benign,root-d4760e5be34f77e345bd6d4b,1007,benign,0,1,-1,rsu-1,rsu,rsu-1,domain-1,cell-0-0,rsu_cam_plausibility,0.78,0.96,0.99,0.76,0.92,9.0,clean_observation
case-grid-1007-veh_008-benign,root-d4760e5be34f77e345bd6d4b,1007,benign,0,1,-1,rsu-6,rsu,rsu-6,domain-3,cell-0-1,rsu_cam_plausibility,0.78,0.8999999999999999,0.99,0.76,0.68,9.0,clean_observation
case-grid-1007-veh_008-benign,wroot-5ecefd2bccf0a50ccd3c34e6,1007,benign,0,1,-1,veh_000,vehicle_witness,rsu-1,domain-1,cell-0--1,vehicle_witness_observation,0.78,0.9170490533395376,0.99,0.76,0.8700907231144513,9.0,clean_observation
