seed,event_id,case_id,source_kind,attack_type,ground_truth_attack_type,direction,ground_truth_malicious
1008,wdet-f644b88ede0a4df3b3223da5,case-1008-veh_014-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-f71606710b84beab5e6fbfa1,case-1008-veh_009-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-f7538d9d540e5665a3db6ee6,case-1008-veh_006-w0001,vehicle_witness,replay,replay,1,1
1008,wdet-fa22ff73e0b7dc210a8406c1,case-1008-veh_021-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-fba64fd3bd05662a84c2fe36,case-1008-veh_016-w0001,vehicle_witness,benign,benign,-1,0
1008,wdet-ff6daa36e58653652493ff35,case-1008-veh_012-w0001,vehicle_witness,false_denm,benign,0,0
1008,det-00831d3c6978a6504c4064ad,case-1008-veh_012-w0001,rsu,false_denm,benign,0,0
1008,det-07a6fb3aa7f1f2f06b90b9a2,case-1008-veh_002-w0001,rsu,position_offset,position_offset,1,1
1008,det-106205ccad26f4d34a98e832,case-1008-veh_010-w0001,rsu,flood,benign,-1,0
1008,det-12877d398e5ff3a881f4e2e3,case-1008-veh_011-w0001,rsu,benign,benign,-1,0
1008,det-18f714d402a0d3ce6a09d3da,case-1008-veh_000-w0001,rsu,benign,benign,-1,0
1008,det-1b135abb3a635ebeeebb0847,case-1008-veh_013-w0001,rsu,position_offset,benign,-1,0
1008,det-1c5da16aaee7327bf802ccd5,case-1008-veh_015-w0001,rsu,benign,benign,-1,0
1008,det-1d09d7087ade2f5fabb8acd6,case-1008-veh_017-w0001,rsu,benign,benign,-1,0
1008,det-1e0017dab42a117ee112b35a,case-1008-veh_016-w0001,rsu,benign,benign,-1,0
1008,det-2e4b036cf3ecbfaa2f8a12f7,case-1008-veh_007-w0001,rsu,benign,benign,-1,0
1008,det-2f4efd80823453c10696bcd2,case-1008-veh_001-w0001,rsu,benign,benign,-1,0
1008,det-2fb9294c126f561a8ea43697,case-1008-veh_010-w0001,rsu,flood,benign,-1,0
1008,det-365442fa5e846dd9c5f925d3,case-1008-veh_020-w0001,rsu,benign,benign,-1,0
1008,det-3aaceb40ab9e13b024147ecd,case-1008-veh_018-w0001,rsu,benign,benign,-1,0
1008,det-3d92f19519bf3f6e9c9d0202,case-1008-veh_009-w0001,rsu,benign,benign,-1,0
1008,det-41a5fe1f1e5309152fc7c3dd,case-1008-veh_001-w0001,rsu,benign,benign,-1,0
1008,det-48933777a38f6025f066c0c0,case-1008-veh_004-w0001,rsu,speed_offset,speed_offset,1,1
1008,det-4a6260f8705f72c1571bfc9a,case-1008-veh_014-w0001,rsu,benign,benign,-1,0
1008,det-4c788017cd051201d4f565c4,case-1008-veh_015-w0001,rsu,benign,benign,-1,0
1008,det-5008e601268024eff050572f,case-1008-veh_014-w0001,rsu,benign,benign,-1,0
1008,det-60bfaef8f469a397badbb958,case-1008-veh_022-w0001,rsu,benign,benign,-1,0
1008,det-6c2592e09e5e0657b08498c8,case-1008-veh_019-w0001,rsu,benign,benign,-1,0
