architecture,TP,FP,TN,FN,trust_precision,malicious_revocation_recall,false_revocation_rate,malicious_acceptance_rate,specificity,trust_f1,mcc,detection_latency_p95_ms,qualification_latency_p95_ms,consensus_latency_p95_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ledger_consistency_delay_p95_ms,messages_total,messages_per_decision,bytes_total,bytes_per_decision,retransmissions,mean_queue_delay_ms,packet_delivery_ratio,consensus_success_rate,consensus_liveness_failures,safety_violations,view_changes,ledger_blocks,ledger_consistent,state_recoveries,false_revocations_from_compromise,runtime_seconds,topology,vehicle_count,seed,backhaul_extra_latency_ms,cpu_time_seconds,peak_memory_kb,source_architecture,derivation
central_crn_available_0ms,10,2,115,6,0.8333333333333334,0.625,0.017094017094017,0.375,0.9829059829059827,0.7142857142857143,0.6902493902658681,7399.999999999992,14116.76253420804,0.0,14052.124445432142,14138.294407249845,14157.74745506583,1.000000000001222,4382,32.94736842105263,3084928,23194.947368421053,66,5732.71106891838,0.9849383842994066,,0,0,0,12,1,0,0,1.3441493000136688,smoke,20,1001,0.0,1.3125,3940.697265625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,18,4,214,14,0.8181818181818182,0.5625,0.018348623853211,0.4375,0.981651376146789,0.6666666666666666,0.6417179742717445,9000.0,14234.175188056734,0.0,14085.686798756364,14257.811569218844,14313.97997131422,1.000000000001222,8016,32.064,5643264,22573.056,148,5954.307695608962,0.9815369261477046,,0,0,0,22,1,0,0,4.170578099990962,smoke,40,1002,0.0,4.0,7123.6083984375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,18,2,217,12,0.9,0.6,0.0091324200913242,0.4,0.9908675799086758,0.7200000000000001,0.7076851903547824,8599.999999999995,14249.751750449004,0.0,14087.207939741094,14244.223927039402,14312.544231570815,1.000000000001222,7955,31.94779116465864,5600320,22491.24497991968,154,5960.17250232577,0.9806411062225016,,0,0,0,20,1,0,0,3.160683100024471,smoke,40,1003,0.0,3.078125,7040.814453125,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,20,2,216,12,0.9090909090909092,0.625,0.0091743119266055,0.375,0.9908256880733946,0.7407407407407406,0.7262435240967898,8549.999999999984,14231.46564455412,0.0,14087.752662192606,14234.343675524451,14327.5382864308,1.000000000001222,7993,31.972,5627072,22508.288,147,5951.609390216623,0.98160890779432,,0,0,0,22,1,0,0,2.8969827000109944,smoke,40,1004,0.0,2.859375,7090.8291015625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,17,2,216,15,0.8947368421052632,0.53125,0.0091743119266055,0.46875,0.9908256880733946,0.6666666666666666,0.6581939940326537,8549.999999999984,14227.975727173476,0.0,14084.982036604964,14223.63872780596,14291.144077481384,1.000000000001222,8025,32.1,5649600,22598.4,127,5960.63536647992,0.9841744548286604,,0,0,0,19,1,0,0,3.123457600013353,smoke,40,1005,0.0,3.078125,7137.986328125,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,18,2,216,14,0.9,0.5625,0.0091743119266055,0.4375,0.9908256880733946,0.6923076923076923,0.6814047440467477,8549.999999999984,14217.375048102427,0.0,14084.469673613668,14255.69856443747,14282.794023322016,1.000000000001222,8010,32.04,5639040,22556.16,161,5948.603772284823,0.9799001248439452,,0,0,0,20,1,0,0,3.472260099981213,smoke,40,1006,0.0,3.390625,7090.796875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,18,2,216,14,0.9,0.5625,0.0091743119266055,0.4375,0.9908256880733946,0.6923076923076923,0.6814047440467477,9000.0,14251.708628011906,0.0,14086.09721647036,14229.164223279358,14329.470518764196,1.000000000001222,7986,31.944,5622144,22488.576,152,5922.219353869456,0.9809666917104932,,0,0,0,20,1,0,0,3.884058099996764,smoke,40,1007,0.0,3.84375,7114.876953125,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,20,2,215,12,0.9090909090909092,0.625,0.0092165898617511,0.375,0.9907834101382488,0.7407407407407406,0.7261202883531214,8599.999999999995,14229.979698493513,0.0,14084.504385352717,14229.458515540297,14293.956526833848,1.000000000001222,7946,31.91164658634538,5593984,22465.79919678715,161,5930.627191543093,0.9796123835892272,,0,0,0,22,1,0,0,2.0456707999983337,smoke,40,1008,0.0,2.0,7038.3740234375,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,20,2,218,12,0.9090909090909092,0.625,0.009090909090909,0.375,0.990909090909091,0.7407407407407406,0.7264867294177659,10000.0,14206.612004417451,0.0,14089.6335141408,14261.614286299133,14298.165501558538,1.000000000001222,8088,32.095238095238095,5693952,22595.04761904762,191,5914.973294757845,0.9763847675568744,,0,0,0,22,1,0,0,3.2742993000138085,smoke,40,1009,0.0,3.234375,7171.5810546875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,19,2,217,11,0.9047619047619048,0.6333333333333333,0.0091324200913242,0.3666666666666666,0.9908675799086758,0.7450980392156863,0.7311896134918339,8599.999999999995,14219.234142212628,0.0,14080.244546782742,14243.048026449638,14302.099131973042,1.000000000001222,7912,31.775100401606423,5570048,22369.670682730924,147,5952.574911021423,0.9814206268958544,,0,0,0,21,1,0,0,2.192696399986744,smoke,40,1010,0.0,2.171875,7023.2607421875,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
central_crn_available_0ms,20,3,302,14,0.8695652173913043,0.5882352941176471,0.0098360655737704,0.4117647058823529,0.9901639344262296,0.7017543859649124,0.6908911409407841,10000.0,14267.831199343833,0.0,14103.139108973764,14313.654109448027,14374.410865140902,1.000000000001222,10354,30.542772861356934,7289216,21502.11209439528,192,6017.850912111682,0.9814564419548,,0,0,0,23,1,0,0,5.161924300016835,smoke,60,1001,0.0,5.078125,9232.0634765625,central_crn_available_0ms,exact additive one-way backhaul shift; no architecture rerun
